config,seed,nparam,session,budget_frames,ref_raw_r2
grouped_se,3,7757,ses-2020-11-19-Run1,200,0.02566409595310688
grouped_se,3,7757,ses-2020-11-19-Run1,400,0.016010075528174638
grouped_se,3,7757,ses-2020-11-19-Run1,800,0.010726743307895959
grouped_se,3,7757,ses-2020-11-19-Run1,1600,0.011654854007065295
grouped_se,3,7757,ses-2020-11-19-Run1,3200,0.013904961664229632
grouped_se,3,7757,ses-2020-11-19-Run1,1000000000,0.013904961664229632
grouped_se,3,7757,ses-2020-11-24-Run1,200,0.08863184303045273
grouped_se,3,7757,ses-2020-11-24-Run1,400,0.09808185398578644
grouped_se,3,7757,ses-2020-11-24-Run1,800,0.09650029838085175
grouped_se,3,7757,ses-2020-11-24-Run1,1600,0.10816758126020432
grouped_se,3,7757,ses-2020-11-24-Run1,3200,0.10701178163290023
grouped_se,3,7757,ses-2020-11-24-Run1,1000000000,0.10701178163290023
